hashtag,correlation
beautiful,0.10012994505503242
beer,0.29172252425902345
birthday,0.023702702521501157
challenge,0.029209585339234543
competition,0.054973107809684264
Dublin,0.18431367720687325
food,0.029918368974697282
foodie,0.012322384058922104
happy,0.40819363586813223
healthy,
ireland,0.09185333246212499
work,0.18995135814747383
